Format Version,1.21,Take Name,Take 2016-02-09 06.04.27 PM,Capture Frame Rate,206.000000,Export Frame Rate,206.000000,Capture Start Time,2016-02-09 06.04.27.420 PM,Total Frames in Take,4527,Total Exported Frames,4527,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port
,,"8392B20CF49E357145CE0C9500000001","8392B20CF49E357145CE0C9500000001","8392B20CF49E357145CE0C9500000001","8392B20CF49E357145CE0C9500000005","8392B20CF49E357145CE0C9500000005","8392B20CF49E357145CE0C9500000005","8392B20CF49E357145CE0C9500000002","8392B20CF49E357145CE0C9500000002","8392B20CF49E357145CE0C9500000002","8392B20CF49E357145CE0C9500000004","8392B20CF49E357145CE0C9500000004","8392B20CF49E357145CE0C9500000004"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.169903,-0.029237,0.023060,0.064791,-0.039968,0.027349,0.077980,-0.016165,0.022373,0.079780,-0.028882,0.025950,0.091084
36,0.174757,-0.029237,0.023060,0.064791,-0.039968,0.027349,0.077980,-0.016164,0.022374,0.079780,-0.028882,0.025950,0.091084
37,0.179612,-0.029238,0.023060,0.064791,-0.039968,0.027349,0.077980,-0.016164,0.022374,0.079780,-0.028882,0.025950,0.091084
38,0.184466,-0.029238,0.023060,0.064790,-0.039969,0.027349,0.077979,-0.016163,0.022375,0.079780,-0.028883,0.025950,0.091084
39,0.189320,-0.029239,0.023060,0.064790,-0.039969,0.027349,0.077979,-0.016163,0.022375,0.079780,-0.028883,0.025951,0.091084
40,0.194175,-0.029239,0.023060,0.064790,-0.039969,0.027349,0.077979,-0.016163,0.022374,0.079780,-0.028883,0.025951,0.091084
41,0.199029,-0.029240,0.023060,0.064789,-0.039970,0.027350,0.077979,-0.016163,0.022374,0.079780,-0.028883,0.025951,0.091085
42,0.203883,-0.029241,0.023060,0.064789,-0.039970,0.027350,0.077979,-0.016164,0.022374,0.079780,-0.028883,0.025951,0.091085
43,0.208738,-0.029241,0.023060,0.064789,-0.039970,0.027350,0.077979,-0.016164,0.022373,0.079780,-0.028883,0.025952,0.091085
44,0.213592,-0.029242,0.023060,0.064788,-0.039971,0.027350,0.077979,-0.016165,0.022372,0.079780,-0.028883,0.025952,0.091085
45,0.218447,-0.029243,0.023060,0.064788,-0.039971,0.027350,0.077979,-0.016165,0.022371,0.079781,-0.028883,0.025952,0.091085
46,0.223301,-0.029243,0.023060,0.064788,-0.039972,0.027350,0.077979,-0.016166,0.022370,0.079781,-0.028884,0.025953,0.091085
47,0.228155,-0.029244,0.023060,0.064787,-0.039972,0.027351,0.077979,-0.016167,0.022369,0.079781,-0.028884,0.025953,0.091085
48,0.233010,-0.029245,0.023060,0.064787,-0.039972,0.027351,0.077979,-0.016168,0.022368,0.079782,-0.028884,0.025954,0.091085
49,0.237864,-0.029246,0.023060,0.064786,-0.039973,0.027351,0.077979,-0.016169,0.022367,0.079782,-0.028884,0.025954,0.091085
50,0.242718,-0.029246,0.023060,0.064786,-0.039973,0.027351,0.077979,-0.016171,0.022365,0.079783,-0.028884,0.025954,0.091085
51,0.247573,-0.029247,0.023060,0.064785,-0.039974,0.027351,0.077979,-0.016172,0.022364,0.079783,-0.028884,0.025955,0.091086
52,0.252427,-0.029248,0.023060,0.064785,-0.039974,0.027351,0.077978,-0.016173,0.022362,0.079784,-0.028884,0.025955,0.091086
53,0.257282,-0.029249,0.023060,0.064784,-0.039975,0.027352,0.077978,-0.016175,0.022361,0.079784,-0.028885,0.025955,0.091086
54,0.262136,-0.029250,0.023060,0.064784,-0.039975,0.027352,0.077978,-0.016176,0.022359,0.079785,-0.028885,0.025956,0.091086
55,0.266990,-0.029251,0.023060,0.064783,-0.039976,0.027352,0.077978,-0.016177,0.022357,0.079785,-0.028885,0.025956,0.091086
56,0.271845,-0.029252,0.023060,0.064782,-0.039976,0.027352,0.077978,-0.016179,0.022356,0.079786,-0.028885,0.025957,0.091086
57,0.276699,-0.029253,0.023060,0.064782,-0.039977,0.027352,0.077978,-0.016180,0.022354,0.079786,-0.028885,0.025957,0.091086
58,0.281553,-0.029254,0.023060,0.064781,-0.039977,0.027353,0.077978,-0.016182,0.022352,0.079787,-0.028885,0.025957,0.091086
59,0.286408,-0.029255,0.023060,0.064780,-0.039978,0.027353,0.077977,-0.016183,0.022350,0.079787,-0.028885,0.025958,0.091086
60,0.291262,-0.029257,0.023060,0.064779,-0.039978,0.027353,0.077977,-0.016185,0.022349,0.079788,-0.028885,0.025958,0.091086
61,0.296117,-0.029258,0.023060,0.064779,-0.039979,0.027353,0.077977,-0.016186,0.022347,0.079788,-0.028885,0.025958,0.091086
62,0.300971,-0.029259,0.023060,0.064778,-0.039979,0.027353,0.077977,-0.016188,0.022345,0.079789,-0.028885,0.025959,0.091086
63,0.305825,-0.029260,0.023060,0.064777,-0.039980,0.027353,0.077977,-0.016189,0.022343,0.079790,-0.028885,0.025959,0.091086
64,0.310680,-0.029261,0.023060,0.064776,-0.039980,0.027353,0.077976,-0.016191,0.022341,0.079790,-0.028885,0.025959,0.091086
65,0.315534,-0.029263,0.023059,0.064775,-0.039981,0.027353,0.077976,-0.016192,0.022340,0.079791,-0.028885,0.025959,0.091086
66,0.320388,-0.029264,0.023059,0.064774,-0.039981,0.027354,0.077976,-0.016194,0.022338,0.079791,-0.028885,0.025960,0.091086
67,0.325243,-0.029265,0.023059,0.064773,-0.039982,0.027354,0.077976,-0.016195,0.022336,0.079792,-0.028885,0.025960,0.091086
68,0.330097,-0.029267,0.023059,0.064772,-0.039983,0.027354,0.077975,-0.016197,0.022334,0.079792,-0.028885,0.025960,0.091086
69,0.334951,-0.029268,0.023059,0.064771,-0.039983,0.027354,0.077975,-0.016198,0.022333,0.079793,-0.028885,0.025960,0.091086
70,0.339806,-0.029270,0.023059,0.064770,-0.039984,0.027354,0.077975,-0.016199,0.022331,0.079794,-0.028885,0.025961,0.091085
71,0.344660,-0.029271,0.023059,0.064769,-0.039984,0.027354,0.077974,-0.016201,0.022329,0.079794,-0.028885,0.025961,0.091085
72,0.349515,-0.029273,0.023059,0.064768,-0.039985,0.027354,0.077974,-0.016202,0.022327,0.079795,-0.028885,0.025961,0.091085
73,0.354369,-0.029274,0.023059,0.064767,-0.039986,0.027354,0.077974,-0.016204,0.022325,0.079795,-0.028885,0.025961,0.091085
74,0.359223,-0.029276,0.023059,0.064766,-0.039986,0.027354,0.077973,-0.016205,0.022323,0.079796,-0.028885,0.025961,0.091085
75,0.364078,-0.029277,0.023059,0.064765,-0.039987,0.027354,0.077973,-0.016206,0.022322,0.079796,-0.028885,0.025961,0.091084
76,0.368932,-0.029279,0.023059,0.064764,-0.039988,0.027354,0.077973,-0.016208,0.022320,0.079797,-0.028885,0.025961,0.091084
77,0.373786,-0.029281,0.023058,0.064762,-0.039988,0.027354,0.077972,-0.016209,0.022318,0.079798,-0.028885,0.025962,0.091084
78,0.378641,-0.029282,0.023058,0.064761,-0.039989,0.027354,0.077972,-0.016211,0.022316,0.079798,-0.028885,0.025962,0.091083
79,0.383495,-0.029284,0.023058,0.064760,-0.039990,0.027354,0.077971,-0.016212,0.022314,0.079799,-0.028885,0.025962,0.091083
80,0.388350,-0.029286,0.023058,0.064759,-0.039990,0.027354,0.077971,-0.016214,0.022312,0.079799,-0.028884,0.025962,0.091083
81,0.393204,-0.029288,0.023058,0.064757,-0.039991,0.027354,0.077970,-0.016215,0.022310,0.079800,-0.028884,0.025962,0.091082
82,0.398058,-0.029290,0.023058,0.064756,-0.039992,0.027354,0.077970,-0.016217,0.022308,0.079801,-0.028884,0.025962,0.091082
83,0.402913,-0.029291,0.023058,0.064755,-0.039992,0.027354,0.077969,-0.016218,0.022306,0.079801,-0.028884,0.025962,0.091082
84,0.407767,-0.029293,0.023058,0.064753,-0.039993,0.027354,0.077969,-0.016220,0.022304,0.079802,-0.028884,0.025962,0.091081
