215,209,213,226,237,245,248,270,291,298,310,319,323,322,320,323,298,301,319,335,355,366,376,391,413,417,433,439,445,444,446,446
255,246,254,265,276,281,283,304,321,324,332,342,344,344,337,347,259,261,275,289,304,314,314,337,358,362,372,373,379,374,379,382
295,285,290,298,309,315,321,336,351,356,362,373,371,370,371,374,229,230,238,251,263,270,276,291,313,317,323,328,328,330,327,330
333,328,335,345,350,365,370,387,406,408,419,430,431,428,431,434,199,192,201,213,222,231,231,250,266,270,278,278,279,276,275,281
385,379,385,397,410,421,425,449,463,473,482,488,493,494,495,495,163,158,161,176,187,191,195,217,228,231,237,240,241,236,238,242
