Format Version,1.21,Take Name,Take 2016-02-09 06.04.27 PM,Capture Frame Rate,206,Export Frame Rate,206,Capture Start Time,2016-02-09 06.04.27.420 PM,Total Frames in Take,4527,Total Exported Frames,4527,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,,,,,,
,,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
0,0,-0.029234,0.023057,0.064793,-0.039963,0.027348,0.077983,-0.016394,0.022143,0.079853,-0.028881,0.025951,0.09109,,,,,,
1,0.004854,-0.029234,0.023057,0.064793,-0.039963,0.027348,0.077983,-0.016383,0.022154,0.079849,-0.028881,0.025951,0.091089,,,,,,
2,0.009709,-0.029234,0.023057,0.064793,-0.039963,0.027348,0.077983,-0.016373,0.022165,0.079846,-0.028881,0.025951,0.091089,,,,,,
3,0.014563,-0.029234,0.023057,0.064793,-0.039963,0.027348,0.077983,-0.016362,0.022175,0.079843,-0.028881,0.025951,0.091089,,,,,,
