Format Version,1.21,Take Name,Take 2016-02-09 06.04.27 PM,Capture Frame Rate,206,Export Frame Rate,206,Capture Start Time,2016-02-09 06.04.27.420 PM,Total Frames in Take,4527,Total Exported Frames,4527,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,,,,,,
,,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
32,0.15534,-0.029234,0.02306,0.064793,-0.039967,0.027348,0.07798,-0.016154,0.022384,0.079776,-0.028882,0.025948,0.091084,,,,,,
33,0.160194,-0.029235,0.02306,0.064792,-0.039967,0.027348,0.07798,-0.016153,0.022385,0.079776,-0.028882,0.025949,0.091084,,,,,,
34,0.165049,-0.029235,0.02306,0.064792,-0.039967,0.027348,0.07798,-0.016153,0.022386,0.079776,-0.028882,0.025949,0.091084,,,,,,
35,0.169903,-0.029235,0.02306,0.064792,-0.039967,0.027349,0.07798,-0.016152,0.022386,0.079776,-0.028882,0.025949,0.091084,,,,,,
36,0.174757,-0.029236,0.02306,0.064792,-0.039968,0.027349,0.07798,-0.016152,0.022386,0.079776,-0.028882,0.025949,0.091084,,,,,,
37,0.179612,-0.029236,0.02306,0.064792,-0.039968,0.027349,0.07798,-0.016153,0.022386,0.079776,-0.028882,0.025949,0.091084,,,,,,
38,0.184466,-0.029237,0.02306,0.064791,-0.039968,0.027349,0.077979,-0.016153,0.022385,0.079776,-0.028882,0.02595,0.091084,,,,,,
39,0.18932,-0.029237,0.02306,0.064791,-0.039969,0.027349,0.077979,-0.016154,0.022384,0.079776,-0.028882,0.02595,0.091084,,,,,,
40,0.194175,-0.029238,0.02306,0.064791,-0.039969,0.027349,0.077979,-0.016154,0.022384,0.079777,-0.028883,0.02595,0.091084,,,,,,
41,0.199029,-0.029238,0.02306,0.064791,-0.039969,0.027349,0.077979,-0.016155,0.022383,0.079777,-0.028883,0.025951,0.091084,,,,,,
42,0.203883,-0.029239,0.02306,0.06479,-0.03997,0.02735,0.077979,-0.016156,0.022381,0.079777,-0.028883,0.025951,0.091084,,,,,,
43,0.208738,-0.029239,0.02306,0.06479,-0.03997,0.02735,0.077979,-0.016157,0.02238,0.079778,-0.028883,0.025951,0.091084,,,,,,
44,0.213592,-0.02924,0.02306,0.06479,-0.03997,0.02735,0.077979,-0.016159,0.022379,0.079778,-0.028883,0.025952,0.091085,,,,,,
45,0.218447,-0.029241,0.02306,0.064789,-0.039971,0.02735,0.077979,-0.01616,0.022377,0.079779,-0.028883,0.025952,0.091085,,,,,,
46,0.223301,-0.029242,0.02306,0.064789,-0.039971,0.02735,0.077979,-0.016162,0.022375,0.079779,-0.028884,0.025952,0.091085,,,,,,
47,0.228155,-0.029242,0.02306,0.064789,-0.039971,0.027351,0.077979,-0.016163,0.022374,0.07978,-0.028884,0.025953,0.091085,,,,,,
48,0.23301,-0.029243,0.02306,0.064788,-0.039972,0.027351,0.077979,-0.016165,0.022372,0.079781,-0.028884,0.025953,0.091085,,,,,,
49,0.237864,-0.029244,0.02306,0.064788,-0.039972,0.027351,0.077979,-0.016167,0.02237,0.079781,-0.028884,0.025954,0.091085,,,,,,
50,0.242718,-0.029245,0.02306,0.064787,-0.039973,0.027351,0.077979,-0.016168,0.022368,0.079782,-0.028884,0.025954,0.091086,,,,,,
51,0.247573,-0.029246,0.02306,0.064787,-0.039973,0.027351,0.077979,-0.01617,0.022366,0.079782,-0.028884,0.025955,0.091086,,,,,,
52,0.252427,-0.029246,0.02306,0.064786,-0.039974,0.027352,0.077979,-0.016172,0.022364,0.079783,-0.028885,0.025955,0.091086,,,,,,
53,0.257282,-0.029247,0.02306,0.064786,-0.039974,0.027352,0.077979,-0.016173,0.022362,0.079784,-0.028885,0.025955,0.091086,,,,,,
54,0.262136,-0.029248,0.02306,0.064785,-0.039975,0.027352,0.077979,-0.016175,0.02236,0.079784,-0.028885,0.025956,0.091086,,,,,,
55,0.26699,-0.029249,0.02306,0.064784,-0.039975,0.027352,0.077978,-0.016177,0.022358,0.079785,-0.028885,0.025956,0.091086,,,,,,
56,0.271845,-0.02925,0.02306,0.064784,-0.039976,0.027352,0.077978,-0.016179,0.022356,0.079786,-0.028885,0.025957,0.091086,,,,,,
57,0.276699,-0.029251,0.02306,0.064783,-0.039976,0.027353,0.077978,-0.01618,0.022354,0.079786,-0.028885,0.025957,0.091087,,,,,,
