Format Version,1.21,,2016-02-19 04.26.29.968 PM,Total Frames in Take,Take Name,Best motion Take 2016-02-19 04.26.29 PM,Capture Frame Rate,,Total Exported Frames,5509,120,Export Frame Rate,120,Capture Start Time,,,5509,,,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,,,,,,,
,,MarkerSet:Away from port top,MarkerSet:Away from port top,MarkerSet:Away from port top,MarkerSet:Ridgeside away from port,MarkerSet:Ridgeside away from port,MarkerSet:Ridgeside away from port,MarkerSet:Close to port top,MarkerSet:Close to port top,MarkerSet:Close to port top,MarkerSet:Ridge side close to port,MarkerSet:Ridge side close to port,MarkerSet:Ridge side close to port,,,,,,,,,,,,
,,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000003,8392B20CF49E357161174D8F00000003,8392B20CF49E357161174D8F00000003,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,
31,0.258333,0.079941,0.087758,0.069379,0.065233,0.089048,0.07936,0.090577,0.087625,0.085398,0.076332,0.088925,0.095492,,,,,,,,,,,,
32,0.266667,0.079941,0.087758,0.069378,0.065233,0.089048,0.07936,0.090577,0.087626,0.085398,0.076332,0.088925,0.095492,,,,,,,,,,,,
33,0.275,0.079941,0.087758,0.069378,0.065233,0.089048,0.07936,0.090577,0.087626,0.085398,0.076332,0.088925,0.095492,,,,,,,,,,,,
34,0.283333,0.079941,0.087758,0.069378,0.065233,0.089048,0.07936,0.090577,0.087626,0.085398,0.076332,0.088925,0.095492,,,,,,,,,,,,
35,0.291667,0.079941,0.087758,0.069378,0.065233,0.089048,0.07936,0.090577,0.087626,0.085398,0.076332,0.088925,0.095492,,,,,,,,,,,,
36,0.3,0.079941,0.087758,0.069378,0.065233,0.089048,0.07936,0.090577,0.087626,0.085398,0.076332,0.088925,0.095492,,,,,,,,,,,,
37,0.308333,0.079941,0.087758,0.069378,0.065233,0.089048,0.07936,0.090577,0.087626,0.085398,0.076332,0.088925,0.095492,,,,,,,,,,,,
38,0.316667,0.079941,0.087758,0.069378,0.065233,0.089048,0.07936,0.090577,0.087626,0.085398,0.076332,0.088926,0.095492,,,,,,,,,,,,
39,0.325,0.079941,0.087758,0.069378,0.065233,0.089048,0.079359,0.090577,0.087626,0.085398,0.076332,0.088926,0.095492,,,,,,,,,,,,
40,0.333333,0.079941,0.087758,0.069378,0.065233,0.089048,0.079359,0.090577,0.087626,0.085398,0.076332,0.088926,0.095492,,,,,,,,,,,,
41,0.341667,0.079941,0.087758,0.069377,0.065233,0.089048,0.079359,0.090577,0.087626,0.085398,0.076332,0.088926,0.095491,,,,,,,,,,,,
42,0.35,0.079941,0.087758,0.069377,0.065233,0.089049,0.079359,0.090577,0.087627,0.085398,0.076332,0.088926,0.095491,,,,,,,,,,,,
43,0.358333,0.079941,0.087758,0.069377,0.065233,0.089049,0.079359,0.090577,0.087627,0.085398,0.076332,0.088926,0.095491,,,,,,,,,,,,
44,0.366667,0.079941,0.087758,0.069377,0.065233,0.089049,0.079359,0.090577,0.087627,0.085398,0.076332,0.088926,0.095491,,,,,,,,,,,,
45,0.375,0.079941,0.087758,0.069377,0.065233,0.089049,0.079359,0.090577,0.087627,0.085398,0.076332,0.088926,0.095491,,,,,,,,,,,,
46,0.383333,0.079941,0.087758,0.069377,0.065233,0.089049,0.079359,0.090577,0.087627,0.085397,0.076332,0.088926,0.095491,,,,,,,,,,,,
47,0.391667,0.079941,0.087758,0.069377,0.065233,0.089049,0.079359,0.090577,0.087627,0.085397,0.076332,0.088926,0.095491,,,,,,,,,,,,
48,0.4,0.079941,0.087758,0.069377,0.065233,0.089049,0.079359,0.090577,0.087627,0.085397,0.076332,0.088926,0.095491,,,,,,,,,,,,
49,0.408333,0.079941,0.087758,0.069377,0.065233,0.089049,0.079359,0.090577,0.087627,0.085397,0.076332,0.088926,0.095491,,,,,,,,,,,,
50,0.416667,0.079941,0.087758,0.069376,0.065233,0.089049,0.079358,0.090577,0.087627,0.085397,0.076332,0.088926,0.095491,,,,,,,,,,,,
51,0.425,0.079941,0.087758,0.069376,0.065233,0.089049,0.079358,0.090577,0.087627,0.085397,0.076332,0.088926,0.095491,,,,,,,,,,,,
52,0.433333,0.079941,0.087758,0.069376,0.065233,0.089049,0.079358,0.090577,0.087627,0.085397,0.076332,0.088926,0.095491,,,,,,,,,,,,
53,0.441667,0.079941,0.087758,0.069376,0.065233,0.089049,0.079358,0.090577,0.087627,0.085397,0.076332,0.088927,0.095491,,,,,,,,,,,,
