Format Version,1.21,Capture Start Time,2016-02-19 05.16.24.248 PM,Total Frames in Take,Take Name,Best with last video taken on camera Take 2016-02-19 05.16.24 PM,Capture Frame Rate,4269,Total Exported Frames,4269,120,Export Frame Rate,120,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,MarkerSet:Top away from port,MarkerSet:Top away from port,MarkerSet:Top away from port,MarkerSet:Ridge away from port,MarkerSet:Ridge away from port,MarkerSet:Ridge away from port,MarkerSet:Top close to port,MarkerSet:Top close to port,MarkerSet:Top close to port,MarkerSet:Ridge close to port,MarkerSet:Ridge close to port,MarkerSet:Ridge close to port,,,,,,
,,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000003,8392B20CF49E3571480B06D800000003,8392B20CF49E3571480B06D800000003,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
34,0.283333,0.032265,0.090049,0.038378,0.019105,0.087933,0.050456,0.044664,0.090035,0.052129,0.031953,0.0881,0.063884,,,,,,
35,0.291667,0.032266,0.090049,0.038381,0.019109,0.087925,0.050447,0.044665,0.090037,0.052131,0.031959,0.0881,0.063881,,,,,,
36,0.3,0.032273,0.090057,0.038375,0.019115,0.087925,0.050451,0.044677,0.090039,0.052124,0.031965,0.088099,0.063886,,,,,,
37,0.308333,0.03228,0.090055,0.03838,0.019125,0.087932,0.050444,0.044692,0.090044,0.052114,0.031976,0.088105,0.063882,,,,,,
38,0.316667,0.032294,0.090053,0.038372,0.019094,0.088077,0.050524,0.044698,0.090042,0.052111,0.031989,0.08811,0.06388,,,,,,
39,0.325,0.032298,0.090053,0.038373,0.019102,0.088075,0.050524,0.044705,0.090031,0.052108,0.031997,0.088105,0.063884,,,,,,
40,0.333333,0.032299,0.090048,0.038376,0.019103,0.08807,0.050524,0.044706,0.09003,0.052111,0.031996,0.088103,0.063881,,,,,,
41,0.341667,0.03229,0.090056,0.038368,0.019139,0.087926,0.050446,0.044697,0.090031,0.052109,0.031986,0.088109,0.063878,,,,,,
42,0.35,0.032282,0.090054,0.038376,0.019125,0.08793,0.050445,0.044694,0.09004,0.052113,0.031977,0.088099,0.063872,,,,,,
43,0.358333,0.032273,0.090059,0.038376,0.019119,0.087938,0.050449,0.044681,0.090039,0.052113,0.031961,0.088106,0.063876,,,,,,
44,0.366667,0.032267,0.090054,0.038381,0.019109,0.087934,0.050447,0.04467,0.090044,0.052127,0.031958,0.08811,0.063882,,,,,,
45,0.375,0.032261,0.090051,0.038382,0.019103,0.087927,0.050449,0.044669,0.090039,0.052126,0.031952,0.088099,0.063888,,,,,,
46,0.383333,0.032266,0.090051,0.038381,0.019109,0.087926,0.050446,0.044671,0.09004,0.052123,0.031955,0.088099,0.063882,,,,,,
47,0.391667,0.032276,0.090054,0.038379,0.019078,0.088081,0.050525,0.044686,0.090044,0.05212,0.031962,0.088111,0.063884,,,,,,
48,0.4,0.032289,0.090059,0.038378,0.019132,0.087935,0.050451,0.044697,0.090044,0.052116,0.03198,0.088109,0.063883,,,,,,
49,0.408333,0.032301,0.090053,0.038377,0.019147,0.087932,0.050449,0.044706,0.090035,0.052123,0.032002,0.088108,0.063888,,,,,,
50,0.416667,0.032301,0.090044,0.038376,0.019105,0.088069,0.050523,0.044713,0.090029,0.052122,0.032005,0.088095,0.063893,,,,,,
51,0.425,0.032299,0.090046,0.038379,0.019106,0.088066,0.050525,0.044702,0.090025,0.05212,0.031998,0.0881,0.063889,,,,,,
52,0.433333,0.032284,0.09005,0.038375,0.019137,0.087932,0.050445,0.044697,0.090033,0.052116,0.031981,0.088106,0.06388,,,,,,
53,0.441667,0.032279,0.090059,0.038371,0.019123,0.087941,0.050441,0.044685,0.090043,0.05211,0.031968,0.088112,0.063876,,,,,,
54,0.45,0.032261,0.09006,0.038367,0.01911,0.08794,0.050434,0.044675,0.090048,0.05211,0.031958,0.088119,0.063868,,,,,,
55,0.458333,0.032261,0.09006,0.038368,0.019104,0.087931,0.05044,0.044675,0.090048,0.052118,0.031953,0.088103,0.06387,,,,,,
56,0.466667,0.032258,0.090054,0.038378,0.019107,0.087927,0.05044,0.044668,0.09004,0.052118,0.031955,0.088098,0.063875,,,,,,
57,0.475,0.032273,0.090053,0.038377,0.019112,0.087928,0.050446,0.044674,0.090038,0.052122,0.03196,0.088103,0.063884,,,,,,
58,0.483333,0.032285,0.090059,0.038378,0.019122,0.087938,0.050448,0.044684,0.090037,0.05212,0.031968,0.088117,0.063882,,,,,,
59,0.491667,0.032288,0.090056,0.038376,0.019137,0.087931,0.050451,0.0447,0.090042,0.052119,0.031986,0.088106,0.063888,,,,,,
60,0.5,0.032297,0.090053,0.038383,0.019145,0.08793,0.050456,0.044701,0.090037,0.052123,0.031996,0.088104,0.063894,,,,,,
61,0.508333,0.0323,0.090043,0.038378,0.019146,0.087923,0.050454,0.044704,0.090033,0.052118,0.031995,0.088097,0.063889,,,,,,
62,0.516667,0.032291,0.09005,0.038378,0.019143,0.087929,0.050446,0.044703,0.090032,0.052112,0.031991,0.088099,0.063881,,,,,,
63,0.525,0.032288,0.090054,0.038371,0.019135,0.087942,0.050439,0.044701,0.090044,0.052112,0.031987,0.088111,0.063877,,,,,,
64,0.533333,0.032282,0.090061,0.038364,0.019126,0.087944,0.050439,0.044696,0.09005,0.052103,0.031969,0.088116,0.063863,,,,,,
65,0.541667,0.032279,0.090061,0.038373,0.01912,0.087938,0.050439,0.044684,0.090046,0.052111,0.031957,0.088115,0.063873,,,,,,
66,0.55,0.032269,0.090052,0.038377,0.019118,0.087929,0.050446,0.044681,0.090035,0.052124,0.031969,0.088101,0.063874,,,,,,
67,0.558333,0.032271,0.090049,0.03838,0.019117,0.087925,0.050448,0.044681,0.090038,0.05213,0.031969,0.088092,0.063881,,,,,,
68,0.566667,0.032275,0.09005,0.038375,0.01912,0.087928,0.050449,0.044683,0.090037,0.052125,0.031968,0.088097,0.063889,,,,,,
69,0.575,0.032277,0.090051,0.038375,0.019125,0.087932,0.05045,0.044685,0.090038,0.052116,0.031973,0.088103,0.063884,,,,,,
70,0.583333,0.032278,0.090054,0.038375,0.019127,0.087929,0.050448,0.044692,0.090047,0.052118,0.031979,0.088106,0.063879,,,,,,
71,0.591667,0.032282,0.090044,0.038372,0.019133,0.087936,0.050448,0.044696,0.090039,0.05212,0.031977,0.088098,0.06388,,,,,,
72,0.6,0.032283,0.09005,0.038371,0.019133,0.08793,0.050445,0.044699,0.090032,0.052119,0.031983,0.088106,0.063878,,,,,,
