Format Version,1.21,Capture Start Time,2016-02-19 05.16.24.248 PM,Total Frames in Take,Take Name,Best with last video taken on camera Take 2016-02-19 05.16.24 PM,Capture Frame Rate,4269,Total Exported Frames,4269,120,Export Frame Rate,120,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,MarkerSet:Top away from port,MarkerSet:Top away from port,MarkerSet:Top away from port,MarkerSet:Ridge away from port,MarkerSet:Ridge away from port,MarkerSet:Ridge away from port,MarkerSet:Top close to port,MarkerSet:Top close to port,MarkerSet:Top close to port,MarkerSet:Ridge close to port,MarkerSet:Ridge close to port,MarkerSet:Ridge close to port,,,,,,
,,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000003,8392B20CF49E3571480B06D800000003,8392B20CF49E3571480B06D800000003,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
749,6.241667,0.030426,0.08985,0.035243,0.017846,0.088342,0.048068,0.045047,0.089816,0.051689,0.0318,0.088466,0.062905,,,,,,
750,6.25,0.030389,0.089865,0.035264,0.017827,0.088327,0.048101,0.04503,0.08982,0.051694,0.031789,0.08845,0.062923,,,,,,
751,6.258333,0.030343,0.089887,0.035286,0.017793,0.088319,0.048133,0.045001,0.089842,0.051702,0.031776,0.08843,0.062931,,,,,,
752,6.266667,0.030292,0.089898,0.035326,0.017769,0.088304,0.048177,0.044966,0.089845,0.051707,0.031813,0.088276,0.062897,,,,,,
753,6.275,0.030264,0.089915,0.035346,0.017745,0.088292,0.048214,0.044946,0.089859,0.051721,0.03179,0.088264,0.062917,,,,,,
754,6.283333,0.030248,0.089918,0.035358,0.017727,0.088287,0.04822,0.04494,0.089862,0.051728,0.031793,0.088257,0.062926,,,,,,
755,6.291667,0.030253,0.08991,0.035349,0.017733,0.088287,0.048214,0.044945,0.089864,0.051719,0.031799,0.088259,0.062922,,,,,,
756,6.3,0.030271,0.089907,0.035329,0.017747,0.0883,0.04819,0.044965,0.089855,0.051719,0.031803,0.088274,0.062907,,,,,,
757,6.308333,0.030285,0.089896,0.035307,0.017765,0.088307,0.048163,0.044978,0.089843,0.051705,0.031814,0.088276,0.062891,,,,,,
758,6.316667,0.03032,0.089891,0.035278,0.017775,0.08832,0.048137,0.045002,0.089842,0.051704,0.031822,0.088293,0.062877,,,,,,
759,6.325,0.030328,0.089872,0.035278,0.01779,0.088325,0.048126,0.045011,0.089833,0.051698,0.031775,0.088428,0.062926,,,,,,
760,6.333333,0.030331,0.089871,0.035263,0.017798,0.08833,0.048112,0.045019,0.089823,0.05169,0.031828,0.088298,0.062856,,,,,,
761,6.341667,0.030333,0.089869,0.035262,0.017802,0.088331,0.048115,0.045009,0.089816,0.051686,0.031782,0.088437,0.062922,,,,,,
762,6.35,0.030324,0.089873,0.035262,0.017789,0.088328,0.048109,0.045012,0.089832,0.051693,0.031829,0.088301,0.062861,,,,,,
763,6.358333,0.030315,0.089883,0.035272,0.017789,0.088322,0.048124,0.045004,0.089835,0.051694,0.031775,0.088432,0.062925,,,,,,
764,6.366667,0.030307,0.089883,0.035274,0.017779,0.088324,0.048129,0.044996,0.089835,0.051698,0.031773,0.088432,0.06292,,,,,,
765,6.375,0.030303,0.089883,0.035278,0.017774,0.088315,0.04813,0.044997,0.089833,0.051699,0.031821,0.088301,0.062871,,,,,,
766,6.383333,0.030298,0.089883,0.035273,0.017772,0.088316,0.048121,0.045001,0.089835,0.051699,0.031771,0.088431,0.06293,,,,,,
767,6.391667,0.030299,0.089883,0.035272,0.017774,0.08832,0.048122,0.045004,0.089836,0.051693,0.03177,0.088438,0.062928,,,,,,
768,6.4,0.030304,0.089879,0.035264,0.017774,0.088322,0.048111,0.045003,0.089833,0.051695,0.03177,0.088442,0.06292,,,,,,
769,6.408333,0.030306,0.089879,0.035258,0.017775,0.088325,0.048105,0.044997,0.089825,0.051693,0.031775,0.088436,0.062921,,,,,,
770,6.416667,0.030306,0.089878,0.035249,0.017779,0.088327,0.0481,0.045002,0.089828,0.051693,0.031777,0.088439,0.062923,,,,,,
771,6.425,0.03031,0.089874,0.035243,0.017775,0.088331,0.048098,0.045004,0.089829,0.051691,0.031819,0.088312,0.062857,,,,,,
772,6.433333,0.030306,0.089879,0.035244,0.017777,0.088332,0.048092,0.04501,0.089835,0.051689,0.031775,0.088447,0.062917,,,,,,
773,6.441667,0.030304,0.089877,0.035241,0.017777,0.088334,0.048091,0.045005,0.089832,0.051684,0.03182,0.088313,0.062857,,,,,,
774,6.45,0.030305,0.089876,0.03524,0.017776,0.088332,0.048094,0.045011,0.089829,0.051695,0.031821,0.088304,0.06286,,,,,,
775,6.458333,0.030308,0.089876,0.035241,0.017773,0.088333,0.048093,0.045009,0.089832,0.051691,0.031822,0.088308,0.062863,,,,,,
776,6.466667,0.030302,0.089877,0.035239,0.017771,0.088338,0.048088,0.045016,0.089833,0.05169,0.031823,0.08831,0.062858,,,,,,
777,6.475,0.0303,0.089875,0.035228,0.017772,0.088343,0.048078,0.045017,0.089833,0.05169,0.031777,0.088448,0.062923,,,,,,
778,6.483333,0.030307,0.089871,0.035221,0.017771,0.088339,0.048072,0.045012,0.089821,0.05168,0.031822,0.088311,0.062854,,,,,,
779,6.491667,0.03031,0.089875,0.035217,0.017773,0.088347,0.048065,0.045021,0.089824,0.05168,0.031824,0.088317,0.06285,,,,,,
780,6.5,0.03031,0.089885,0.035212,0.017772,0.088346,0.048059,0.045011,0.089818,0.051675,0.031778,0.088451,0.062907,,,,,,
781,6.508333,0.030279,0.089882,0.035216,0.017757,0.088335,0.048078,0.045005,0.089827,0.051674,0.031766,0.088445,0.062911,,,,,,
782,6.516667,0.030256,0.089901,0.035242,0.01774,0.088323,0.048105,0.044991,0.089843,0.051688,0.031803,0.088302,0.062856,,,,,,
783,6.525,0.030227,0.089912,0.035264,0.01772,0.088309,0.048131,0.044975,0.089841,0.051699,0.031748,0.088415,0.062943,,,,,,
784,6.533333,0.030213,0.089914,0.035263,0.017711,0.08831,0.048147,0.044959,0.089847,0.0517,0.031794,0.088277,0.062896,,,,,,
785,6.541667,0.030204,0.089909,0.035265,0.017698,0.088301,0.048153,0.044947,0.089848,0.051703,0.031786,0.08827,0.062896,,,,,,
786,6.55,0.030201,0.089912,0.035262,0.0177,0.088306,0.04815,0.044951,0.089851,0.051703,0.03179,0.088274,0.06289,,,,,,
787,6.558333,0.030212,0.089909,0.035253,0.017708,0.088312,0.048128,0.044967,0.089845,0.051694,0.031795,0.08828,0.062887,,,,,,
788,6.566667,0.030224,0.089914,0.035242,0.01772,0.088319,0.048112,0.044974,0.089841,0.051694,0.031751,0.088421,0.062931,,,,,,
789,6.575,0.030234,0.089896,0.035222,0.017729,0.088319,0.048099,0.044982,0.089842,0.051684,0.031801,0.088302,0.06286,,,,,,
790,6.583333,0.030236,0.08989,0.035211,0.017725,0.08832,0.048083,0.044997,0.089844,0.051687,0.031806,0.088303,0.062852,,,,,,
791,6.591667,0.030226,0.089888,0.035208,0.017723,0.088321,0.048085,0.04499,0.089848,0.05169,0.03176,0.088428,0.062917,,,,,,
792,6.6,0.030225,0.089894,0.03521,0.017724,0.088327,0.048088,0.044986,0.089841,0.051687,0.031761,0.088431,0.062923,,,,,,
793,6.608333,0.030226,0.089893,0.03521,0.017719,0.088318,0.048087,0.04499,0.089843,0.051691,0.03176,0.088431,0.062923,,,,,,
794,6.616667,0.030223,0.089897,0.035209,0.017716,0.088318,0.048083,0.044987,0.089838,0.051687,0.031811,0.088301,0.062862,,,,,,
795,6.625,0.030223,0.089896,0.035211,0.017719,0.088316,0.04808,0.044991,0.089837,0.05169,0.031765,0.088427,0.062915,,,,,,
796,6.633333,0.030221,0.089891,0.035201,0.01772,0.088324,0.048075,0.044994,0.089844,0.051688,0.031766,0.088428,0.062916,,,,,,
797,6.641667,0.030229,0.089889,0.035196,0.017717,0.088324,0.048066,0.044999,0.089838,0.051687,0.031771,0.088437,0.062917,,,,,,
798,6.65,0.030229,0.089881,0.035188,0.017719,0.088334,0.048053,0.045001,0.089834,0.051688,0.031811,0.08831,0.06285,,,,,,
799,6.658333,0.030231,0.089877,0.035185,0.017723,0.088332,0.048056,0.045,0.089828,0.051686,0.031814,0.088311,0.062853,,,,,,
800,6.666667,0.030235,0.089878,0.035178,0.017718,0.088336,0.04805,0.045006,0.089834,0.051689,0.03177,0.088441,0.06291,,,,,,
801,6.675,0.030224,0.089881,0.035171,0.017719,0.088335,0.048049,0.045011,0.089837,0.05169,0.031772,0.088438,0.062914,,,,,,
802,6.683333,0.03022,0.089874,0.035171,0.017715,0.088338,0.048042,0.045004,0.089828,0.05168,0.03177,0.088443,0.062908,,,,,,
803,6.691667,0.03022,0.089874,0.035166,0.017714,0.088341,0.048037,0.045004,0.08983,0.05168,0.031774,0.088444,0.062904,,,,,,
804,6.7,0.030213,0.089881,0.035163,0.017708,0.088341,0.048035,0.045007,0.089831,0.051678,0.031767,0.088441,0.062905,,,,,,
805,6.708333,0.030219,0.089884,0.035164,0.017714,0.088334,0.048039,0.045004,0.089832,0.051679,0.031767,0.088435,0.062903,,,,,,
806,6.716667,0.030202,0.089888,0.03516,0.017699,0.088333,0.048037,0.044993,0.089836,0.051681,0.031803,0.088302,0.062837,,,,,,
807,6.725,0.030192,0.08989,0.03517,0.017699,0.088328,0.048052,0.044994,0.089835,0.051684,0.031757,0.08843,0.062905,,,,,,
808,6.733333,0.030175,0.089899,0.035176,0.017688,0.088325,0.048057,0.044982,0.089839,0.051684,0.031758,0.088428,0.062908,,,,,,
809,6.741667,0.030168,0.089898,0.035179,0.017688,0.088317,0.048061,0.044983,0.089848,0.051691,0.031752,0.088423,0.062921,,,,,,
810,6.75,0.030163,0.089897,0.035173,0.017679,0.088321,0.048063,0.044976,0.089844,0.051686,0.0318,0.088291,0.062863,,,,,,
811,6.758333,0.030167,0.089891,0.035173,0.01768,0.088327,0.04805,0.04498,0.089847,0.051688,0.031751,0.088425,0.062911,,,,,,
812,6.766667,0.030173,0.089888,0.035155,0.017687,0.088326,0.048043,0.044985,0.089839,0.051684,0.031752,0.088426,0.062907,,,,,,
813,6.775,0.030181,0.089889,0.03515,0.017689,0.088337,0.048028,0.044988,0.089833,0.051678,0.031755,0.088436,0.062897,,,,,,
814,6.783333,0.030188,0.089884,0.035143,0.01769,0.088341,0.048022,0.044992,0.089842,0.051676,0.031761,0.088437,0.062897,,,,,,
815,6.791667,0.030185,0.089886,0.035131,0.017693,0.088338,0.048017,0.045003,0.089836,0.051673,0.031765,0.088443,0.062899,,,,,,
816,6.8,0.030191,0.089879,0.035131,0.017693,0.088343,0.048013,0.045006,0.089834,0.051676,0.03176,0.08844,0.062894,,,,,,
817,6.808333,0.030189,0.089879,0.035124,0.017692,0.088339,0.048008,0.045007,0.08983,0.051672,0.031765,0.088439,0.062897,,,,,,
818,6.816667,0.030186,0.08988,0.035124,0.017692,0.088343,0.048007,0.045008,0.089834,0.051677,0.031768,0.088438,0.062897,,,,,,
819,6.825,0.030187,0.089877,0.035119,0.017692,0.088339,0.048005,0.045007,0.089829,0.051677,0.031771,0.088444,0.062898,,,,,,
820,6.833333,0.030185,0.089872,0.035118,0.017693,0.088343,0.048,0.045009,0.089832,0.051671,0.031766,0.088445,0.062899,,,,,,
821,6.841667,0.030189,0.089879,0.035108,0.017691,0.088344,0.04799,0.045014,0.089831,0.051672,0.031769,0.088453,0.062891,,,,,,
822,6.85,0.030193,0.089874,0.035103,0.017695,0.088346,0.047985,0.045011,0.089835,0.051664,0.031774,0.088453,0.062889,,,,,,
823,6.858333,0.030196,0.089873,0.035094,0.017696,0.088348,0.047977,0.045016,0.089831,0.051663,0.031771,0.088458,0.062884,,,,,,
824,6.866667,0.030198,0.089872,0.035087,0.0177,0.088353,0.047976,0.045023,0.089831,0.051661,0.031771,0.088457,0.062884,,,,,,
825,6.875,0.0302,0.089868,0.035078,0.017699,0.08836,0.04797,0.04502,0.089831,0.051662,0.031818,0.088324,0.06281,,,,,,
826,6.883333,0.030197,0.089868,0.035078,0.017696,0.088359,0.047974,0.045019,0.08983,0.051657,0.031774,0.088455,0.062879,,,,,,
827,6.891667,0.030185,0.089879,0.035088,0.017692,0.088355,0.047982,0.045011,0.089827,0.05166,0.031769,0.08845,0.062881,,,,,,
828,6.9,0.030162,0.089885,0.035094,0.01767,0.088347,0.047993,0.045004,0.089833,0.051667,0.031762,0.088441,0.062889,,,,,,
829,6.908333,0.030134,0.089902,0.035125,0.017656,0.088334,0.048015,0.044982,0.089839,0.051675,0.03175,0.088432,0.062894,,,,,,
830,6.916667,0.030103,0.089899,0.035129,0.017627,0.088323,0.048039,0.044968,0.089848,0.051679,0.031746,0.088416,0.062916,,,,,,
831,6.925,0.030088,0.089908,0.035146,0.017621,0.088318,0.048054,0.044958,0.089848,0.051686,0.031784,0.088287,0.062861,,,,,,
832,6.933333,0.030086,0.089913,0.035142,0.017625,0.088313,0.048061,0.044956,0.089855,0.051684,0.031779,0.088284,0.062857,,,,,,
833,6.941667,0.030088,0.089904,0.035133,0.017622,0.088323,0.04804,0.044961,0.089851,0.051675,0.03179,0.088293,0.062858,,,,,,
834,6.95,0.030103,0.089902,0.035113,0.01763,0.088328,0.048028,0.044979,0.089851,0.051679,0.03179,0.088295,0.062845,,,,,,
835,6.958333,0.030111,0.089896,0.035103,0.017638,0.088331,0.048014,0.044977,0.089843,0.051676,0.031747,0.088426,0.062899,,,,,,
836,6.966667,0.030119,0.089887,0.035096,0.017646,0.08833,0.048002,0.044991,0.089839,0.051675,0.031753,0.088429,0.062895,,,,,,
837,6.975,0.030119,0.089891,0.035094,0.017647,0.088337,0.047993,0.044991,0.089838,0.051672,0.031753,0.08844,0.062891,,,,,,
838,6.983333,0.030117,0.089894,0.035086,0.017647,0.088337,0.047993,0.044992,0.089842,0.05168,0.031754,0.08843,0.062894,,,,,,
839,6.991667,0.030117,0.089891,0.035086,0.017642,0.088333,0.047996,0.04499,0.089841,0.051678,0.031753,0.088434,0.062891,,,,,,
840,7,0.030111,0.089891,0.035079,0.017636,0.088336,0.047996,0.044994,0.089843,0.051672,0.031755,0.088435,0.06289,,,,,,
841,7.008333,0.03011,0.089885,0.035076,0.017631,0.088334,0.047984,0.044995,0.08984,0.051674,0.031752,0.088433,0.06289,,,,,,
842,7.016667,0.030115,0.089891,0.035071,0.017639,0.088338,0.047983,0.045,0.089848,0.05168,0.031748,0.088435,0.062884,,,,,,
843,7.025,0.030116,0.089888,0.035064,0.017639,0.088341,0.047977,0.045003,0.089833,0.051672,0.031753,0.088437,0.062891,,,,,,
844,7.033333,0.030117,0.089882,0.035061,0.01764,0.088341,0.04797,0.045003,0.089842,0.051671,0.031755,0.088439,0.062893,,,,,,
845,7.041667,0.03012,0.089875,0.035057,0.01764,0.08835,0.047967,0.045006,0.089838,0.051674,0.031759,0.088446,0.062891,,,,,,
846,7.05,0.030117,0.089877,0.035054,0.017642,0.088343,0.047958,0.045009,0.089838,0.05167,0.031757,0.088444,0.062883,,,,,,
847,7.058333,0.030117,0.089878,0.035046,0.017637,0.088345,0.047951,0.04501,0.089836,0.051662,0.031759,0.088453,0.062887,,,,,,
848,7.066667,0.030119,0.089878,0.035042,0.017637,0.088345,0.047949,0.045006,0.089838,0.051666,0.031762,0.088451,0.062882,,,,,,
849,7.075,0.030113,0.089877,0.035042,0.017638,0.088347,0.047945,0.045012,0.089835,0.051661,0.031763,0.088449,0.06288,,,,,,
850,7.083333,0.030119,0.089875,0.035037,0.017637,0.088344,0.047942,0.045012,0.08983,0.051662,0.031765,0.088451,0.062878,,,,,,
851,7.091667,0.030119,0.08987,0.035031,0.017639,0.08835,0.04794,0.045021,0.089832,0.051657,0.031768,0.088457,0.062877,,,,,,
852,7.1,0.030116,0.08987,0.035027,0.017637,0.08835,0.047936,0.045016,0.089831,0.051664,0.031813,0.088316,0.062805,,,,,,
853,7.108333,0.030112,0.089869,0.035027,0.017637,0.088348,0.047928,0.045018,0.089835,0.051662,0.031769,0.088452,0.062872,,,,,,
854,7.116667,0.03012,0.089868,0.035019,0.017633,0.088344,0.047926,0.045015,0.089831,0.051654,0.031769,0.088455,0.062871,,,,,,
855,7.125,0.030116,0.089867,0.035015,0.017633,0.088346,0.047922,0.045022,0.089832,0.051656,0.031774,0.088456,0.062874,,,,,,
856,7.133333,0.030123,0.089867,0.035007,0.017635,0.088347,0.047916,0.045021,0.089822,0.051658,0.03177,0.088456,0.062866,,,,,,
857,7.141667,0.03012,0.089866,0.035006,0.017635,0.088345,0.047916,0.045022,0.08983,0.051663,0.031769,0.088458,0.062871,,,,,,
858,7.15,0.03012,0.089866,0.035006,0.017632,0.088352,0.047914,0.045024,0.08983,0.051655,0.031821,0.088324,0.0628,,,,,,
859,7.158333,0.030122,0.089868,0.035003,0.01764,0.088357,0.047909,0.045035,0.089825,0.051663,0.031776,0.088465,0.062866,,,,,,
860,7.166667,0.030124,0.089866,0.034999,0.017639,0.08835,0.047903,0.045033,0.08982,0.051653,0.031773,0.088468,0.062865,,,,,,
861,7.175,0.030127,0.089864,0.03499,0.017643,0.08835,0.047899,0.045032,0.089819,0.051653,0.031778,0.088461,0.062867,,,,,,
862,7.183333,0.030121,0.089862,0.034987,0.017637,0.088355,0.047893,0.045035,0.089822,0.051657,0.031828,0.088331,0.062802,,,,,,
863,7.191667,0.030123,0.089861,0.034981,0.017638,0.088357,0.047883,0.045035,0.089823,0.051656,0.031824,0.088334,0.062799,,,,,,
864,7.2,0.030121,0.08986,0.034975,0.017636,0.088358,0.047884,0.045037,0.089824,0.051652,0.031775,0.088466,0.062854,,,,,,
865,7.208333,0.03012,0.089852,0.034968,0.01763,0.088356,0.047872,0.045034,0.08982,0.051653,0.031822,0.08834,0.062794,,,,,,
866,7.216667,0.030122,0.089851,0.034959,0.017634,0.088353,0.047868,0.045043,0.089825,0.051653,0.031774,0.08847,0.062851,,,,,,
867,7.225,0.030119,0.089851,0.034961,0.017633,0.088358,0.047867,0.045039,0.089821,0.051653,0.031821,0.088339,0.062787,,,,,,
868,7.233333,0.030122,0.089853,0.034956,0.017637,0.088361,0.047862,0.04504,0.089815,0.051651,0.03183,0.088342,0.062787,,,,,,
869,7.241667,0.030125,0.089856,0.034951,0.017639,0.088362,0.047856,0.045048,0.089816,0.051652,0.031827,0.088338,0.062784,,,,,,
870,7.25,0.030122,0.089859,0.034952,0.01764,0.088363,0.047853,0.045047,0.089804,0.051646,0.031827,0.088336,0.062788,,,,,,
871,7.258333,0.030123,0.089851,0.034948,0.017639,0.088363,0.047853,0.045056,0.089818,0.051652,0.031779,0.088475,0.062844,,,,,,
872,7.266667,0.030124,0.08985,0.034939,0.017638,0.088366,0.047848,0.045053,0.089813,0.051649,0.031778,0.088471,0.062847,,,,,,
873,7.275,0.03012,0.089846,0.034933,0.017639,0.088369,0.047841,0.045059,0.08982,0.051647,0.031829,0.088344,0.06278,,,,,,
874,7.283333,0.030125,0.089854,0.034929,0.01764,0.088368,0.047835,0.045056,0.089819,0.05165,0.031826,0.088343,0.062778,,,,,,
875,7.291667,0.030126,0.089851,0.03492,0.017639,0.088369,0.047828,0.04506,0.089817,0.051641,0.031831,0.088348,0.062773,,,,,,
876,7.3,0.030122,0.089841,0.034914,0.017638,0.08837,0.047821,0.045062,0.089821,0.051648,0.031784,0.088485,0.06284,,,,,,
877,7.308333,0.030121,0.08984,0.034911,0.017637,0.088368,0.04782,0.045062,0.089815,0.051651,0.031788,0.088483,0.062838,,,,,,
878,7.316667,0.03012,0.089842,0.034912,0.017634,0.08837,0.047817,0.045061,0.089816,0.051646,0.031834,0.088352,0.062773,,,,,,
879,7.325,0.030121,0.089844,0.034905,0.017636,0.088372,0.04781,0.045062,0.089809,0.051648,0.031787,0.088489,0.062835,,,,,,
880,7.333333,0.030124,0.08984,0.034904,0.017634,0.088375,0.04781,0.045071,0.089813,0.051649,0.031794,0.088491,0.062835,,,,,,
881,7.341667,0.030122,0.089839,0.034901,0.017633,0.088369,0.047808,0.045067,0.089815,0.051648,0.031787,0.088485,0.062832,,,,,,
882,7.35,0.030115,0.08984,0.034894,0.017632,0.08837,0.047803,0.045071,0.089814,0.051651,0.031791,0.088487,0.062837,,,,,,
883,7.358333,0.030115,0.08984,0.034892,0.017624,0.088367,0.047797,0.045066,0.089808,0.051641,0.031787,0.088486,0.062831,,,,,,
884,7.366667,0.030104,0.089848,0.034898,0.017624,0.08837,0.047802,0.045061,0.089817,0.051642,0.031784,0.088487,0.062829,,,,,,
885,7.375,0.030082,0.089865,0.034911,0.017601,0.088365,0.047818,0.045049,0.089817,0.051646,0.031769,0.088474,0.062839,,,,,,
886,7.383333,0.030039,0.089871,0.034937,0.01758,0.088349,0.047855,0.045021,0.089833,0.051649,0.031757,0.088462,0.062854,,,,,,
887,7.391667,0.03001,0.089886,0.034966,0.017549,0.088334,0.047877,0.045,0.089838,0.051663,0.031746,0.088443,0.062872,,,,,,
888,7.4,0.029996,0.089894,0.034977,0.017531,0.088325,0.047905,0.044984,0.089847,0.051673,0.031741,0.088437,0.062884,,,,,,
889,7.408333,0.029985,0.089885,0.034976,0.017531,0.088322,0.047911,0.044983,0.089851,0.051672,0.031739,0.088436,0.062886,,,,,,
890,7.416667,0.029986,0.089889,0.034969,0.01753,0.088323,0.047896,0.044987,0.089848,0.05167,0.031746,0.088435,0.06288,,,,,,
891,7.425,0.030003,0.089888,0.034953,0.017538,0.088333,0.04788,0.045005,0.089842,0.051661,0.031747,0.088447,0.062872,,,,,,
892,7.433333,0.030014,0.089876,0.034943,0.017556,0.088343,0.047864,0.045012,0.089841,0.051656,0.031757,0.088455,0.062866,,,,,,
893,7.441667,0.030024,0.089871,0.03493,0.017555,0.088339,0.047859,0.045024,0.089834,0.051651,0.031754,0.088461,0.062864,,,,,,
894,7.45,0.030019,0.08987,0.034932,0.017555,0.088343,0.047853,0.045018,0.089836,0.051652,0.031803,0.088322,0.062797,,,,,,
895,7.458333,0.030007,0.089864,0.034935,0.017547,0.08834,0.047852,0.045015,0.089839,0.051656,0.031758,0.088449,0.062863,,,,,,
896,7.466667,0.030009,0.089874,0.03493,0.017547,0.08834,0.047859,0.045015,0.089838,0.051658,0.031754,0.088456,0.062869,,,,,,
897,7.475,0.030005,0.089871,0.034927,0.017541,0.08834,0.047854,0.045012,0.089834,0.051656,0.031758,0.088459,0.062866,,,,,,
898,7.483333,0.030008,0.089871,0.03492,0.01754,0.088341,0.047848,0.045011,0.089844,0.051658,0.031758,0.088455,0.062862,,,,,,
899,7.491667,0.030005,0.089867,0.034917,0.017541,0.088345,0.047844,0.045011,0.089837,0.05165,0.031753,0.088456,0.062854,,,,,,
900,7.5,0.030007,0.089867,0.034909,0.017544,0.088347,0.047834,0.045025,0.089841,0.05165,0.031754,0.088466,0.062855,,,,,,
901,7.508333,0.030008,0.089867,0.034903,0.017548,0.088342,0.047826,0.045027,0.089832,0.051651,0.031805,0.088336,0.062792,,,,,,
902,7.516667,0.030014,0.089864,0.034895,0.017551,0.088342,0.047823,0.045026,0.089839,0.051654,0.031804,0.088336,0.062793,,,,,,
903,7.525,0.030011,0.089862,0.034895,0.01755,0.088342,0.047817,0.045027,0.089832,0.051655,0.03181,0.088334,0.062788,,,,,,
904,7.533333,0.030016,0.089862,0.03489,0.017549,0.08834,0.04782,0.045031,0.089834,0.051655,0.031807,0.088333,0.062791,,,,,,
905,7.541667,0.030011,0.089858,0.034886,0.017549,0.088344,0.047816,0.04503,0.08983,0.051659,0.031816,0.088324,0.062789,,,,,,
906,7.55,0.030013,0.089861,0.034884,0.017548,0.088348,0.047811,0.045033,0.089828,0.05165,0.031767,0.088473,0.062851,,,,,,
907,7.558333,0.03001,0.089858,0.034874,0.017542,0.088342,0.047807,0.045031,0.089828,0.051653,0.031809,0.088338,0.062786,,,,,,
908,7.566667,0.030007,0.089859,0.034872,0.017537,0.088344,0.047797,0.045032,0.08984,0.051651,0.031755,0.088464,0.06285,,,,,,
909,7.575,0.029996,0.089859,0.034875,0.017531,0.088347,0.047797,0.04503,0.089834,0.051652,0.031801,0.088331,0.062783,,,,,,
910,7.583333,0.029996,0.08986,0.034876,0.01753,0.088343,0.047803,0.04503,0.089834,0.05165,0.031799,0.088336,0.062783,,,,,,
911,7.591667,0.029984,0.089869,0.034879,0.017524,0.088341,0.047807,0.045027,0.089837,0.051649,0.031799,0.088335,0.062789,,,,,,
912,7.6,0.029973,0.089866,0.034878,0.017516,0.088342,0.047808,0.04502,0.089833,0.051653,0.031797,0.088333,0.062785,,,,,,
913,7.608333,0.029975,0.08986,0.034875,0.017511,0.088345,0.047804,0.04502,0.089833,0.051651,0.031803,0.088329,0.062785,,,,,,
914,7.616667,0.029958,0.089864,0.034877,0.017506,0.088343,0.047803,0.045019,0.089836,0.05165,0.031806,0.088331,0.06279,,,,,,
915,7.625,0.029955,0.089861,0.034875,0.0175,0.088341,0.047803,0.045021,0.089838,0.051653,0.031803,0.088328,0.062793,,,,,,
916,7.633333,0.029947,0.089862,0.03487,0.017498,0.088338,0.047801,0.045019,0.089842,0.051653,0.031797,0.088326,0.062789,,,,,,
917,7.641667,0.029949,0.089859,0.034866,0.017496,0.088339,0.047801,0.045017,0.089839,0.05165,0.031799,0.08833,0.062792,,,,,,
918,7.65,0.029952,0.089858,0.034858,0.017493,0.08834,0.047798,0.045022,0.089835,0.051647,0.031754,0.088461,0.06285,,,,,,
919,7.658333,0.02995,0.089852,0.034853,0.017503,0.088341,0.047787,0.045027,0.089844,0.051652,0.03175,0.088461,0.062846,,,,,,
920,7.666667,0.029951,0.089848,0.03484,0.017503,0.088342,0.047788,0.045027,0.089829,0.05165,0.031806,0.088325,0.062783,,,,,,
921,7.675,0.029954,0.089847,0.03484,0.017496,0.088343,0.047782,0.045024,0.089828,0.05165,0.0318,0.088333,0.062779,,,,,,
922,7.683333,0.029954,0.08985,0.034835,0.017507,0.088336,0.047773,0.045034,0.08983,0.051648,0.031809,0.088329,0.06278,,,,,,
923,7.691667,0.029949,0.089849,0.034831,0.0175,0.088345,0.047774,0.045034,0.08983,0.051652,0.031762,0.088467,0.062842,,,,,,
924,7.7,0.029951,0.089845,0.034827,0.017494,0.088338,0.047771,0.045031,0.089831,0.05165,0.031807,0.08834,0.062779,,,,,,
925,7.708333,0.029944,0.089845,0.034827,0.017495,0.088337,0.047767,0.045033,0.089834,0.051649,0.031765,0.088466,0.062842,,,,,,
926,7.716667,0.02994,0.089846,0.034826,0.017496,0.088338,0.047769,0.04503,0.089832,0.051645,0.031801,0.088333,0.062778,,,,,,
927,7.725,0.029938,0.089851,0.034823,0.017491,0.088333,0.047762,0.04504,0.089832,0.051645,0.031806,0.088335,0.06278,,,,,,
928,7.733333,0.029934,0.089845,0.034816,0.01749,0.088336,0.047759,0.045031,0.089836,0.051649,0.031807,0.088337,0.062774,,,,,,
929,7.741667,0.029939,0.089843,0.03481,0.017488,0.088336,0.047758,0.045033,0.089824,0.051645,0.031809,0.088333,0.062775,,,,,,
930,7.75,0.029939,0.089843,0.034812,0.017488,0.088341,0.047749,0.045036,0.089833,0.051648,0.031764,0.08847,0.062836,,,,,,
