=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.02.02 14:44:54 =~=~=~=~=~=~=~=~=~=~=~=,,,
,,,
0.07,-0.42,-0.29,2.03
0.68,-0.54,0.2,1.17
-0.29,0.44,0.56,-0.42
-0.29,-1.27,-0.42,-0.54
-0.9,-0.78,0.07,-0.17
-0.54,-0.9,-0.42,-0.66
0.68,-0.42,-0.05,-0.17
-0.42,-0.54,-0.42,-0.17
-0.42,-0.42,-0.29,0.2
-0.54,-0.78,-0.05,-0.17
-0.42,-0.42,0.44,0.07
-0.9,-0.78,-0.66,-0.54
-0.78,-0.78,0.32,-0.54
-0.29,-1.03,-0.78,-0.54
-0.9,-1.03,0.2,0.07
-0.9,-0.78,-0.78,-0.9
-1.03,-0.42,-0.17,0.2
-1.03,-1.15,-0.54,-0.66
-0.29,1.42,-0.54,-0.78
-,,,
